indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
2288,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was No interaction from audience",,percent,#N/A,2248,1868,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2289,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was No interaction from audience",,percent,#N/A,2249,1869,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2290,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was No interaction from audience",,percent,#N/A,2250,1870,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2291,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was No interaction from audience",,percent,#N/A,2251,1871,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2292,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very low level of interaction from audience",,percent,#N/A,2252,1862,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2293,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very low level of interaction from audience",,percent,#N/A,2253,1863,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2294,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very low level of interaction from audience",,percent,#N/A,2254,1864,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2295,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very low level of interaction from audience",,percent,#N/A,2255,1865,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2296,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very low level of interaction from audience",,percent,#N/A,2256,1866,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2297,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very low level of interaction from audience",,percent,#N/A,2257,1867,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2298,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very low level of interaction from audience",,percent,#N/A,2258,1868,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2299,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was very low level of interaction from audience",,percent,#N/A,2259,1869,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2300,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was very low level of interaction from audience",,percent,#N/A,2260,1870,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2301,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was very low level of interaction from audience",,percent,#N/A,2261,1871,percent,indicator,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2302,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was adequate level of interaction from audience",,percent,#N/A,2262,1862,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2303,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was adequate level of interaction from audience",,percent,#N/A,2263,1863,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2304,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was adequate level of interaction from audience",,percent,#N/A,2264,1864,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2305,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was adequate level of interaction from audience",,percent,#N/A,2265,1865,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2306,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was adequate level of interaction from audience",,percent,#N/A,2266,1866,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2307,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was adequate level of interaction from audience",,percent,#N/A,2267,1867,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2308,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was adequate level of interaction from audience",,percent,#N/A,2268,1868,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2309,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was adequate level of interaction from audience",,percent,#N/A,2269,1869,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2310,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was adequate level of interaction from audience",,percent,#N/A,2270,1870,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2311,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was adequate level of interaction from audience",,percent,#N/A,2271,1871,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2312,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very high level of interaction from audience",,percent,#N/A,2272,1862,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2313,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very high level of interaction from audience",,percent,#N/A,2273,1863,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2314,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very high level of interaction from audience",,percent,#N/A,2274,1864,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2315,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very high level of interaction from audience",,percent,#N/A,2275,1865,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2316,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very high level of interaction from audience",,percent,#N/A,2276,1866,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2317,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very high level of interaction from audience",,percent,#N/A,2277,1867,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2318,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very high level of interaction from audience",,percent,#N/A,2278,1868,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2319,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was very high level of interaction from audience",,percent,#N/A,2279,1869,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2320,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was very high level of interaction from audience",,percent,#N/A,2280,1870,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2321,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was very high level of interaction from audience",,percent,#N/A,2281,1871,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2322," T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:102),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2323," T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:103),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2324," T4 Sessions supervised with theme ""Effects due to anaemia"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:104),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2325," T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:105),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2326," T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:106),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2327," T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:107),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2328," T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:108),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2329," T4 Sessions supervised with theme ""dietary diversity"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:109),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2330," T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:110),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2331," T4 Sessions supervised with theme ""WASH"" where there was No engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:111),FALSE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2332," T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:102),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2333," T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:103),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2334," T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:104),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2335," T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:105),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2336," T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:106),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2337," T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:107),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2338," T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:108),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2339," T4 Sessions supervised with theme ""dietary diversity"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:109),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2340," T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:110),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2341," T4 Sessions supervised with theme ""WASH"" where there was very little engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:111),FALSE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2342," T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:102),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2343," T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:103),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2344," T4 Sessions supervised with theme ""Effects due to anaemia"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:104),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2345," T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:105),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2346," T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:106),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2347," T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:107),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2348," T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:108),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2349," T4 Sessions supervised with theme ""dietary diversity"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:109),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2350," T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:110),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2351," T4 Sessions supervised with theme ""WASH"" where there was adequate engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:111),TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2352," T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:102),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2353," T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:103),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2354," T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:104),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2355," T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:105),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2356," T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:106),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2357," T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:107),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2358," T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:108),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2359," T4 Sessions supervised with theme ""dietary diversity"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:109),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2360," T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:110),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2361," T4 Sessions supervised with theme ""WASH"" where there was very high level of engagement from audience",,number,#N/A,F7Q16,,Number,dropdown,7,monthly,and$eq(data.F7Q7:111),TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2362,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was No engagement from audience",,percent,#N/A,2322,1862,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2363,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was No engagement from audience",,percent,#N/A,2323,1863,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2364,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was No engagement from audience",,percent,#N/A,2324,1864,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2365,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was No engagement from audience",,percent,#N/A,2325,1865,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2366,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was No engagement from audience",,percent,#N/A,2326,1866,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2367,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was No engagement from audience",,percent,#N/A,2327,1867,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2368,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was No engagement from audience",,percent,#N/A,2328,1868,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2369,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was No engagement from audience",,percent,#N/A,2329,1869,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2370,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was No engagement from audience",,percent,#N/A,2330,1870,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2371,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was No engagement from audience",,percent,#N/A,2331,1871,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2372,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very little engagement from audience",,percent,#N/A,2332,1862,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2373,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very little engagement from audience",,percent,#N/A,2333,1863,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2374,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very little engagement from audience",,percent,#N/A,2334,1864,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2375,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very little engagement from audience",,percent,#N/A,2335,1865,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2376,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very little engagement from audience",,percent,#N/A,2336,1866,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2377,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very little engagement from audience",,percent,#N/A,2337,1867,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2378,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very little engagement from audience",,percent,#N/A,2338,1868,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2379,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was very little engagement from audience",,percent,#N/A,2339,1869,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2380,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was very little engagement from audience",,percent,#N/A,2340,1870,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2381,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was very little engagement from audience",,percent,#N/A,2341,1871,percent,,7,monthly,,FALSE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2382,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was adequate engagement from audience",,percent,#N/A,2342,1862,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2383,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was adequate engagement from audience",,percent,#N/A,2343,1863,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2384,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was adequate engagement from audience",,percent,#N/A,2344,1864,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2385,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was adequate engagement from audience",,percent,#N/A,2345,1865,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2386,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was adequate engagement from audience",,percent,#N/A,2346,1866,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2387,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was adequate engagement from audience",,percent,#N/A,2347,1867,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2388,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was adequate engagement from audience",,percent,#N/A,2348,1868,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2389,"Percentage of  T4 Sessions supervised with theme ""dietary diversity"" where there was adequate engagement from audience",,percent,#N/A,2349,1869,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2390,"Percentage of  T4 Sessions supervised with theme ""deworming and malaria-effect on anaemia and IFA intake"" where there was adequate engagement from audience",,percent,#N/A,2350,1870,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2391,"Percentage of  T4 Sessions supervised with theme ""WASH"" where there was adequate engagement from audience",,percent,#N/A,2351,1871,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2392,"Percentage of  T4 Sessions supervised with theme ""Women in the area, their life style and their vulnerabilities"" where there was very high level of engagement from audience",,percent,#N/A,2352,1862,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2393,"Percentage of  T4 Sessions supervised with theme ""What is anaemia, its causes and symptoms"" where there was very high level of engagement from audience",,percent,#N/A,2353,1863,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2394,"Percentage of  T4 Sessions supervised with theme ""Effects due to anaemia"" where there was very high level of engagement from audience",,percent,#N/A,2354,1864,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2395,"Percentage of  T4 Sessions supervised with theme ""Addressing anaemia using various approaches"" where there was very high level of engagement from audience",,percent,#N/A,2355,1865,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2396,"Percentage of  T4 Sessions supervised with theme ""Supplements for anaemia (IFA)"" where there was very high level of engagement from audience",,percent,#N/A,2356,1866,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2397,"Percentage of  T4 Sessions supervised with theme ""Understanding barriers and opportunities"" where there was very high level of engagement from audience",,percent,#N/A,2357,1867,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2398,"Percentage of  T4 Sessions supervised with theme ""Role of other stakeholders in ensuring IFA compliance"" where there was very high level of engagement from audience",,percent,#N/A,2358,1868,percent,,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
